	Label	Key	From	To	Last Updated	Frequency	Country	Item	Country.1	Data type	Balance sheet suffix	Long description
433	TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS	SUP.Q.PT.W0._Z.E5000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	PT	E5000	ALL	LE	E	 Portugal, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS, All exposures, Closing balance sheet/Positions/Stocks, Euro
434	Number of institutions - Core equity tier 1 ratio (%) <= 10	SUP.Q.PT._Z._Z.D5130._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	PT	D5130	_Z	_Z	Z	 Portugal, Number of institutions - Core equity tier 1 ratio (%) <= 10
435	Number of institutions - Core equity tier 1 ratio (%) between 10 - 20	SUP.Q.PT._Z._Z.D5170._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	PT	D5170	_Z	_Z	Z	 Portugal, Number of institutions - Core equity tier 1 ratio (%) between 10 - 20
436	Number of institutions - Core equity tier 1 ratio (%) > 20	SUP.Q.PT._Z._Z.D5180._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	PT	D5180	_Z	_Z	Z	 Portugal, Number of institutions - Core equity tier 1 ratio (%) > 20
437	Number of institutions - Leverage ratio (%) <= 3	SUP.Q.PT._Z._Z.D7110._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	PT	D7110	_Z	_Z	Z	 Portugal, Number of institutions - Leverage ratio (%) <= 3
438	Number of institutions - Leverage ratio (%) between 3 - 6	SUP.Q.PT._Z._Z.D7120._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	PT	D7120	_Z	_Z	Z	 Portugal, Number of institutions - Leverage ratio (%) between 3 - 6
439	Number of institutions - Leverage ratio (%) > 6	SUP.Q.PT._Z._Z.D7130._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	PT	D7130	_Z	_Z	Z	 Portugal, Number of institutions - Leverage ratio (%) > 6
440	TOTAL RISK EXPOSURE AMOUNT / TOTAL EXPOSURES	SUP.Q.SI.W0._Z.E0000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E0000	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT / TOTAL EXPOSURES, All exposures, Closing balance sheet/Positions/Stocks, Euro
441	TOTAL EXPOSURES FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES	SUP.Q.SI.W0._Z.E1000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E1000	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), TOTAL EXPOSURES FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES, All exposures, Closing balance sheet/Positions/Stocks, Euro
442	Exposures to credit risk - Risk exposure amount for contributions to the default fund of a CCP	SUP.Q.SI.W0._Z.E1100._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E1100	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - Risk exposure amount for contributions to the default fund of a CCP, All exposures, Closing balance sheet/Positions/Stocks, Euro
443	Securitisation positions	SUP.Q.SI.W0._Z.E1300._T._Z._Z.ALL.LE.E.C	2020Q1	2022Q3	2023-01-11 10:00:00	Q	SI	E1300	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Securitisation positions, All exposures, Closing balance sheet/Positions/Stocks, Euro
444	Exposures to credit risk - Standardised approach (SA)	SUP.Q.SI.W0._Z.E2000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E2000	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA), All exposures, Closing balance sheet/Positions/Stocks, Euro
445	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Institutions	SUP.Q.SI.W0._Z.E2130._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E2130	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Institutions, All exposures, Closing balance sheet/Positions/Stocks, Euro
446	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Corporates	SUP.Q.SI.W0._Z.E2135._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E2135	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Corporates, All exposures, Closing balance sheet/Positions/Stocks, Euro
447	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail	SUP.Q.SI.W0._Z.E2140._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E2140	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Secured by mortgages on immovable property, All exposures, Closing balance sheet/Positions/Stocks, Euro
448	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Secured by mortgages on immovable property	SUP.Q.SI.W0._Z.E2145._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E2145	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Secured by mortgages on immovable property, All exposures, Closing balance sheet/Positions/Stocks, Euro
449	Exposures to credit risk - Internal ratings based Approach (IRB)	SUP.Q.SI.W0._Z.E3000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E3000	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - Internal ratings based Approach (IRB), All exposures, Closing balance sheet/Positions/Stocks, Euro
450	Exposures to credit risk - IRB approach - corporates (SME, specialised lending and other)	SUP.Q.SI.W0._Z.E324C._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E324C	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - corporates (SME, specialised lending and other), All exposures, Closing balance sheet/Positions/Stocks, Euro
451	Exposures to credit risk - IRB approach - retail (secured by real estate property SME and non-SME)	SUP.Q.SI.W0._Z.E324E._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E324E	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - retail (secured by real estate property SME and non-SME), All exposures, Closing balance sheet/Positions/Stocks, Euro
452	Exposures to credit risk - IRB approach - institutions	SUP.Q.SI.W0._Z.E324I._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E324I	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - institutions, All exposures, Closing balance sheet/Positions/Stocks, Euro
453	Exposures to credit risk - IRB approach - retail (qualifying revolving, other SME and other non-SME)	SUP.Q.SI.W0._Z.E324Q._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E324Q	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - retail (qualifying revolving, other SME and other non-SME), All exposures, Closing balance sheet/Positions/Stocks, Euro
454	TOTAL RISK EXPOSURE AMOUNT FOR SETTLEMENT/DELIVERY	SUP.Q.SI.W0._Z.E4000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E4000	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT FOR SETTLEMENT/DELIVERY, All exposures, Closing balance sheet/Positions/Stocks, Euro
455	TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS	SUP.Q.SI.W0._Z.E5000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	E5000	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS, All exposures, Closing balance sheet/Positions/Stocks, Euro
456	Number of institutions - Core equity tier 1 ratio (%) <= 10	SUP.Q.SI._Z._Z.D5130._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	D5130	_Z	_Z	Z	 Slovenia, Number of institutions - Core equity tier 1 ratio (%) <= 10
457	Number of institutions - Core equity tier 1 ratio (%) between 10 - 20	SUP.Q.SI._Z._Z.D5170._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	D5170	_Z	_Z	Z	 Slovenia, Number of institutions - Core equity tier 1 ratio (%) between 10 - 20
458	Number of institutions - Core equity tier 1 ratio (%) > 20	SUP.Q.SI._Z._Z.D5180._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SI	D5180	_Z	_Z	Z	 Slovenia, Number of institutions - Core equity tier 1 ratio (%) > 20
459	Number of institutions - Leverage ratio (%) <= 3	SUP.Q.SI._Z._Z.D7110._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	SI	D7110	_Z	_Z	Z	 Slovenia, Number of institutions - Leverage ratio (%) <= 3
460	Number of institutions - Leverage ratio (%) between 3 - 6	SUP.Q.SI._Z._Z.D7120._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	SI	D7120	_Z	_Z	Z	 Slovenia, Number of institutions - Leverage ratio (%) between 3 - 6
461	Number of institutions - Leverage ratio (%) > 6	SUP.Q.SI._Z._Z.D7130._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	SI	D7130	_Z	_Z	Z	 Slovenia, Number of institutions - Leverage ratio (%) > 6
462	TOTAL RISK EXPOSURE AMOUNT / TOTAL EXPOSURES	SUP.Q.SK.W0._Z.E0000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E0000	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT / TOTAL EXPOSURES, All exposures, Closing balance sheet/Positions/Stocks, Euro
463	TOTAL EXPOSURES FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES	SUP.Q.SK.W0._Z.E1000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E1000	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), TOTAL EXPOSURES FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES, All exposures, Closing balance sheet/Positions/Stocks, Euro
464	Exposures to credit risk - Risk exposure amount for contributions to the default fund of a CCP	SUP.Q.SK.W0._Z.E1100._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E1100	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - Risk exposure amount for contributions to the default fund of a CCP, All exposures, Closing balance sheet/Positions/Stocks, Euro
465	Securitisation positions	SUP.Q.SK.W0._Z.E1300._T._Z._Z.ALL.LE.E.C	2020Q1	2022Q3	2023-01-11 10:00:00	Q	SK	E1300	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Securitisation positions, All exposures, Closing balance sheet/Positions/Stocks, Euro
466	Exposures to credit risk - Standardised approach (SA)	SUP.Q.SK.W0._Z.E2000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E2000	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA), All exposures, Closing balance sheet/Positions/Stocks, Euro
467	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Institutions	SUP.Q.SK.W0._Z.E2130._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E2130	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Institutions, All exposures, Closing balance sheet/Positions/Stocks, Euro
468	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Corporates	SUP.Q.SK.W0._Z.E2135._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E2135	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Corporates, All exposures, Closing balance sheet/Positions/Stocks, Euro
469	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail	SUP.Q.SK.W0._Z.E2140._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E2140	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Secured by mortgages on immovable property, All exposures, Closing balance sheet/Positions/Stocks, Euro
470	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Secured by mortgages on immovable property	SUP.Q.SK.W0._Z.E2145._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E2145	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Secured by mortgages on immovable property, All exposures, Closing balance sheet/Positions/Stocks, Euro
471	Exposures to credit risk - Internal ratings based Approach (IRB)	SUP.Q.SK.W0._Z.E3000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E3000	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - Internal ratings based Approach (IRB), All exposures, Closing balance sheet/Positions/Stocks, Euro
472	Exposures to credit risk - IRB approach - corporates (SME, specialised lending and other)	SUP.Q.SK.W0._Z.E324C._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E324C	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - corporates (SME, specialised lending and other), All exposures, Closing balance sheet/Positions/Stocks, Euro
473	Exposures to credit risk - IRB approach - retail (secured by real estate property SME and non-SME)	SUP.Q.SK.W0._Z.E324E._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E324E	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - retail (secured by real estate property SME and non-SME), All exposures, Closing balance sheet/Positions/Stocks, Euro
474	Exposures to credit risk - IRB approach - institutions	SUP.Q.SK.W0._Z.E324I._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E324I	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - institutions, All exposures, Closing balance sheet/Positions/Stocks, Euro
475	Exposures to credit risk - IRB approach - retail (qualifying revolving, other SME and other non-SME)	SUP.Q.SK.W0._Z.E324Q._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E324Q	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - retail (qualifying revolving, other SME and other non-SME), All exposures, Closing balance sheet/Positions/Stocks, Euro
476	TOTAL RISK EXPOSURE AMOUNT FOR SETTLEMENT/DELIVERY	SUP.Q.SK.W0._Z.E4000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E4000	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT FOR SETTLEMENT/DELIVERY, All exposures, Closing balance sheet/Positions/Stocks, Euro
477	TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS	SUP.Q.SK.W0._Z.E5000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	E5000	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS, All exposures, Closing balance sheet/Positions/Stocks, Euro
478	Number of institutions - Core equity tier 1 ratio (%) <= 10	SUP.Q.SK._Z._Z.D5130._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	D5130	_Z	_Z	Z	 Slovakia, Number of institutions - Core equity tier 1 ratio (%) <= 10
479	Number of institutions - Core equity tier 1 ratio (%) between 10 - 20	SUP.Q.SK._Z._Z.D5170._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	D5170	_Z	_Z	Z	 Slovakia, Number of institutions - Core equity tier 1 ratio (%) between 10 - 20
480	Number of institutions - Core equity tier 1 ratio (%) > 20	SUP.Q.SK._Z._Z.D5180._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	SK	D5180	_Z	_Z	Z	 Slovakia, Number of institutions - Core equity tier 1 ratio (%) > 20
481	Number of institutions - Leverage ratio (%) <= 3	SUP.Q.SK._Z._Z.D7110._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	SK	D7110	_Z	_Z	Z	 Slovakia, Number of institutions - Leverage ratio (%) <= 3
482	Number of institutions - Leverage ratio (%) between 3 - 6	SUP.Q.SK._Z._Z.D7120._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	SK	D7120	_Z	_Z	Z	 Slovakia, Number of institutions - Leverage ratio (%) between 3 - 6
483	Number of institutions - Leverage ratio (%) > 6	SUP.Q.SK._Z._Z.D7130._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	SK	D7130	_Z	_Z	Z	 Slovakia, Number of institutions - Leverage ratio (%) > 6
484	Exposures to market risk - Risk exposure amount for position, foreign exchange and commodities risks under standardised approaches (SA)	SUP.Q.AT.W0._Z.E5100._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E5100	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), Exposures to market risk - Risk exposure amount for position, foreign exchange and commodities risks under standardised approaches (SA), All exposures, Closing balance sheet/Positions/Stocks, Euro
485	Exposures to market risk - Risk exposure amount for Position, foreign exchange and commodities risks under internal models (IM)	SUP.Q.AT.W0._Z.E5200._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E5200	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), Exposures to market risk - Risk exposure amount for Position, foreign exchange and commodities risks under internal models (IM), All exposures, Closing balance sheet/Positions/Stocks, Euro
486	TOTAL RISK EXPOSURE AMOUNT FOR OPERATIONAL RISK (OpR )	SUP.Q.AT.W0._Z.E6000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E6000	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT FOR OPERATIONAL RISK (OpR ), All exposures, Closing balance sheet/Positions/Stocks, Euro
487	Exposures to operational risk - Basic indicator approach (BIA)	SUP.Q.AT.W0._Z.E6100._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E6100	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), Exposures to operational risk - Basic indicator approach (BIA), All exposures, Closing balance sheet/Positions/Stocks, Euro
488	Exposures to operational risk - Standardised (STA) / Alternative Standardised (ASA) approaches	SUP.Q.AT.W0._Z.E6200._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E6200	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), Exposures to operational risk - Standardised (STA) / Alternative Standardised (ASA) approaches, All exposures, Closing balance sheet/Positions/Stocks, Euro
489	Exposures to operational risk - Advanced measurement approaches (AMA)	SUP.Q.AT.W0._Z.E6300._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E6300	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), Exposures to operational risk - Advanced measurement approaches (AMA), All exposures, Closing balance sheet/Positions/Stocks, Euro
490	TOTAL RISK EXPOSURE AMOUNT FOR CREDIT VALUATION ADJUSTMENT	SUP.Q.AT.W0._Z.E7000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E7000	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT FOR CREDIT VALUATION ADJUSTMENT, All exposures, Closing balance sheet/Positions/Stocks, Euro
491	OTHER RISK EXPOSURE AMOUNTS (other, due to fixed overheads and related to large exposures in the trading book)	SUP.Q.AT.W0._Z.E9300._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E9300	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), OTHER RISK EXPOSURE AMOUNTS (other, due to fixed overheads and related to large exposures in the trading book), All exposures, Closing balance sheet/Positions/Stocks, Euro
492	Exposure weighted average lgd (%) - institutions (IRB approach)	SUP.Q.B01.AT._Z.EL001._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EL001	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, Exposure weighted average lgd (%) - institutions (IRB approach), Percentage
493	Exposure weighted average lgd (%) - corporates (IRB approach)	SUP.Q.B01.AT._Z.EL002._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EL002	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, Exposure weighted average lgd (%) - corporates (IRB approach), Percentage
494	Exposure weighted average lgd (%) - corporates - SME (IRB approach)	SUP.Q.B01.AT._Z.EL003._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EL003	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, Exposure weighted average lgd (%) - corporates - SME (IRB approach), Percentage
495	Exposure weighted average lgd (%) - retail (IRB approach)	SUP.Q.B01.AT._Z.EL004._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EL004	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, Exposure weighted average lgd (%) - retail (IRB approach), Percentage
496	Exposure weighted average lgd (%) - retail - secured by immovable property - non-SME (IRB approach)	SUP.Q.B01.AT._Z.EL005._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EL005	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, Exposure weighted average lgd (%) - retail - secured by immovable property - non-SME (IRB approach), Percentage
497	Exposure weighted average lgd (%) - retail - qualifying revolving (IRB approach)	SUP.Q.B01.AT._Z.EL006._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-02-02 15:37:00	Q	B01	EL006	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, Exposure weighted average lgd (%) - retail - qualifying revolving (IRB approach), Percentage
498	Exposure weighted average lgd (%) - retail - other (IRB approach)	SUP.Q.B01.AT._Z.EL007._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EL007	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, Exposure weighted average lgd (%) - retail - other (IRB approach), Percentage
499	PD assigned to the obligor grade or pool (%) - institutions (IRB approach)	SUP.Q.B01.AT._Z.EPD01._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EPD01	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, PD assigned to the obligor grade or pool (%) - institutions (IRB approach), Percentage
500	PD assigned to the obligor grade or pool (%) - corporates (IRB approach)	SUP.Q.B01.AT._Z.EPD02._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EPD02	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, PD assigned to the obligor grade or pool (%) - corporates (IRB approach), Percentage
501	PD assigned to the obligor grade or pool (%) - corporates - SME (IRB approach)	SUP.Q.B01.AT._Z.EPD03._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EPD03	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, PD assigned to the obligor grade or pool (%) - corporates - SME (IRB approach), Percentage
502	PD assigned to the obligor grade or pool (%) - retail (IRB approach)	SUP.Q.B01.AT._Z.EPD04._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EPD04	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, PD assigned to the obligor grade or pool (%) - retail (IRB approach), Percentage
503	PD assigned to the obligor grade or pool (%) - retail - secured by immovable property - non-SME (IRB approach)	SUP.Q.B01.AT._Z.EPD05._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EPD05	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, PD assigned to the obligor grade or pool (%) - retail - secured by immovable property - non-SME (IRB approach), Percentage
504	PD assigned to the obligor grade or pool (%) - retail - qualifying revolving (IRB approach)	SUP.Q.B01.AT._Z.EPD06._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-02-02 15:37:00	Q	B01	EPD06	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, PD assigned to the obligor grade or pool (%) - retail - qualifying revolving (IRB approach), Percentage
505	PD assigned to the obligor grade or pool (%) - retail - other (IRB approach)	SUP.Q.B01.AT._Z.EPD07._T._Z._Z._Z._Z.PCT.C	2018Q3	2022Q3	2023-01-11 10:00:00	Q	B01	EPD07	_Z	_Z	PCT	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Austria, PD assigned to the obligor grade or pool (%) - retail - other (IRB approach), Percentage
